,word,redact
0,ion,0
1,mo.,0
2,wwwitalconschicago.org,0
3,county,0
4,sanchez,0
5,bank,0
6,diocese,0
7,idol,0
8,detective,0
9,cingular,0
10,jaci,0
11,ic100c,0
12,counter,0
13,catholic,1
14,screensaver,0
15,faucets,0
16,weavers,0
17,edmund,0
18,insulation,0
19,comedyclubs,0
20,mhsteca.com,0
21,1st,0
22,business,0
23,label,0
24,kelly,0
25,reducers,0
26,millimeter,0
27,mother's,0
28,home,0
29,brasil,0
30,full,0
31,angeles,0
32,cingular,0
33,jensen,0
34,for,0
35,ulead,0
36,genivive,0
37,wireless,0
38,quayle,0
39,7,0
40,herald,0
41,popular,0
42,class,0
43,www.ask.com,0
44,of,0
45,battista,0
46,churches,0
47,map,0
48,vendo,0
49,stone,0
